fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2
http://ufcstats.com/fight-details/c53a5dca56870ea5,"March 01, 2014","Macau, China",Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,,Kazuki Tokudome,Yui Chul Nam,,"""The Korean Bulldozer""",L,W,0,3,31 of 55,77 of 130,131 of 174,109 of 173
http://ufcstats.com/fight-details/36d4e8f650539bf0,"March 01, 2014","Macau, China",TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Leon Roberts,Eye Injury,Albert Cheng,Anying Wang,,,L,W,0,0,5 of 12,13 of 45,5 of 12,15 of 47
http://ufcstats.com/fight-details/543dca66a449d9d5,"March 15, 2014","Dallas, Texas, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),,,Daniel Pineda,Robert Whiteford,"""The Pit""","""The Hammer""",L,W,0,0,24 of 44,26 of 50,40 of 60,54 of 84
http://ufcstats.com/fight-details/8f979d206eaec468,"March 15, 2014","Dallas, Texas, USA",Submission,1,4:33,3 Rnd (5-5-5),,Rear Naked Choke,Robert McDaniel,Sean Strickland,"""Bubba""",,L,W,0,0,4 of 10,20 of 35,4 of 10,24 of 39
http://ufcstats.com/fight-details/b36362f5db72abee,"April 19, 2014","Orlando, Florida, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Jorge Alonso,,Dustin Ortiz,Ray Borg,,"""The Tazmexican Devil""",W,L,0,0,46 of 80,12 of 27,107 of 144,21 of 37
http://ufcstats.com/fight-details/a283975bf9355757,"April 19, 2014","Orlando, Florida, USA",KO/TKO,1,4:23,3 Rnd (5-5-5),John McCarthy,Punches to Head On Ground,Derrick Lewis,Jack May,"""The Black Beast""","""The Outlaw""",W,L,0,0,22 of 27,5 of 6,26 of 31,23 of 24
http://ufcstats.com/fight-details/0175c0d2a98576f1,"March 15, 2014","Dallas, Texas, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,,Will Campuzano,Justin Scoggins,,,L,W,0,0,4 of 41,61 of 103,28 of 70,78 of 127
http://ufcstats.com/fight-details/f8c9a597f719d75c,"April 19, 2014","Orlando, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jorge Alonso,,Jorge Masvidal,Pat Healy,"""Gamebred""","""Bam Bam""",W,L,0,0,69 of 95,32 of 100,105 of 132,84 of 155
http://ufcstats.com/fight-details/3808db1e982cb103,"April 19, 2014","Orlando, Florida, USA",KO/TKO,1,1:28,3 Rnd (5-5-5),Jorge Ortiz,Punch to Head At Distance,Estevan Payan,Alex White,"""El Terrible""","""The Spartan""",L,W,0,1,10 of 23,20 of 30,10 of 23,20 of 30
http://ufcstats.com/fight-details/70e0e57a6755e31e,"April 19, 2014","Orlando, Florida, USA",Decision - Majority,3,5:00,3 Rnd (5-5-5),Jorge Ortiz,,Mirsad Bektic,Chas Skelly,,"""The Scrapper""",W,L,0,0,27 of 90,19 of 85,80 of 148,32 of 101
http://ufcstats.com/fight-details/73f72edb86c82eef,"April 19, 2014","Orlando, Florida, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,Jordan Mein,Hernani Perpetuo,"""Young Gun""",,W,L,0,0,46 of 84,21 of 93,62 of 102,26 of 99
