fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2,sig_str_landed_1,sig_str_attempted_1,total_str_landed_1,total_str_attempted_1,sig_str_landed_2,sig_str_attempted_2,total_str_landed_2,total_str_attempted_2,sig_str_accuracy_1,total_str_accuracy_1,sig_str_accuracy_2,total_str_accuracy_2,winner,fight_time_seconds,total_fight_time_seconds,outcome_category,fighter_1_won,fighter_2_won,sig_strike_diff,total_strike_diff,kd_1_jitter,kd_2_jitter,year,total_fight_time_minutes,country
http://ufcstats.com/fight-details/0f3e6876516edeaf,2014-01-15,"Duluth, Georgia, USA",KO/TKO,1,2:31,5 Rnd (5-5-5-5-5),Herb Dean,Kick to Body At Distance,Luke Rockhold,Constantinos Philippou,,,W,L,1,0,12 of 19,4 of 19,12 of 19,4 of 19,12,19,12,19,4,19,4,19,0.631578947368421,0.631578947368421,0.2105263157894736,0.2105263157894736,Luke Rockhold,151,151,KO/TKO,1,0,8,8,1.0877866293414644,-0.06409218859009295,2014,2.5166666666666666,USA
http://ufcstats.com/fight-details/3b8b70b448b0c604,2014-01-15,"Duluth, Georgia, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Blake Grice,Point Deducted: Illegal Knee by Silverio,Isaac Vallie-Flagg,Elias Silverio,,"""Xuxu""",L,W,0,1,21 of 59,81 of 133,37 of 75,136 of 199,21,59,37,75,81,133,136,199,0.3559322033898305,0.4933333333333333,0.6090225563909775,0.6834170854271356,Elias Silverio,300,900,Decision,0,1,-60,-99,-0.0022605407449659155,0.9372622573544305,2014,15.0,USA
http://ufcstats.com/fight-details/55139052f4641670,2014-01-15,"Duluth, Georgia, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,TJ Dillashaw,Mike Easton,,"""The Hulk""",W,L,0,0,117 of 232,46 of 111,138 of 257,51 of 116,117,232,138,257,46,111,51,116,0.5043103448275862,0.5369649805447471,0.4144144144144144,0.4396551724137931,TJ Dillashaw,300,900,Decision,1,0,71,87,-0.0681354248240814,-0.005849982910571339,2014,15.0,USA
http://ufcstats.com/fight-details/c2f70bd2fc1bac73,2014-01-15,"Duluth, Georgia, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Alptekin Ozkilic,Louis Smolka,"""The Turkish Delight""","""Da Last Samurai""",L,W,0,0,60 of 193,92 of 245,63 of 196,96 of 249,60,193,63,196,92,245,96,249,0.310880829015544,0.3214285714285714,0.3755102040816326,0.3855421686746988,Louis Smolka,300,900,Decision,0,1,-32,-33,0.028704049638423896,0.0469012678467381,2014,15.0,USA
http://ufcstats.com/fight-details/8d6392d59e1ca099,2014-01-15,"Duluth, Georgia, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Lorenz Larkin,Brad Tavares,"""The Monsoon""",,L,W,0,0,39 of 113,45 of 112,43 of 117,62 of 132,39,113,43,117,45,112,62,132,0.3451327433628318,0.3675213675213675,0.4017857142857143,0.4696969696969697,Brad Tavares,300,900,Decision,0,1,-6,-19,-0.020040445002385224,-0.008712012939321227,2014,15.0,USA
http://ufcstats.com/fight-details/b1fd21231f0604e1,2013-12-28,"Las Vegas, Nevada, USA",KO/TKO,2,1:32,3 Rnd (5-5-5),Yves Lavigne,Punch to Head At Distance,Gleison Tibau,Michael Johnson,,"""The Menace""",L,W,0,1,12 of 63,22 of 85,17 of 68,23 of 86,12,63,17,68,22,85,23,86,0.1904761904761904,0.25,0.2588235294117647,0.2674418604651162,Michael Johnson,92,392,KO/TKO,0,1,-10,-6,-0.053679615427103804,1.100683394843336,2013,6.533333333333333,USA
http://ufcstats.com/fight-details/27635cc4d9fcac98,2013-12-28,"Las Vegas, Nevada, USA",KO/TKO,3,0:12,3 Rnd (5-5-5),Yves Lavigne,Punches to Head At Distance,Robert Peralta,Estevan Payan,"""Problems""","""El Terrible""",W,L,1,0,34 of 68,32 of 65,53 of 90,62 of 95,34,68,53,90,32,65,62,95,0.5,0.5888888888888889,0.4923076923076923,0.6526315789473685,Robert Peralta,12,612,KO/TKO,1,0,2,-9,1.0289117048729863,0.06397240238466823,2013,10.2,USA
http://ufcstats.com/fight-details/49c0071ae52fc83a,2013-12-28,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,William Macario,Bobby Voelker,"""Patolino""","""Vicious""",W,L,0,0,133 of 210,61 of 240,133 of 210,72 of 251,133,210,133,210,61,240,72,251,0.6333333333333333,0.6333333333333333,0.2541666666666666,0.2868525896414343,William Macario,300,900,Decision,1,0,72,61,0.016675560505130235,0.09098727873544754,2013,15.0,USA
http://ufcstats.com/fight-details/a6e494c82d136172,2013-12-28,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,John Howard,Siyar Bahadurzada,"""Doomsday""","""The Great""",W,L,0,0,47 of 89,44 of 120,112 of 159,83 of 162,47,89,112,159,44,120,83,162,0.5280898876404494,0.7044025157232704,0.3666666666666666,0.5123456790123457,John Howard,300,900,Decision,1,0,3,29,-0.005744123345150328,-0.041164007851278835,2013,15.0,USA
http://ufcstats.com/fight-details/39be68189f2d5074,2013-12-28,"Las Vegas, Nevada, USA",Submission,1,3:42,3 Rnd (5-5-5),Herb Dean,Armbar From Bottom Guard,Jim Miller,Fabricio Camoes,"""A-10""","""Morango""",W,L,0,0,6 of 25,11 of 23,9 of 28,16 of 28,6,25,9,28,11,23,16,28,0.24,0.3214285714285714,0.4782608695652174,0.5714285714285714,Jim Miller,222,222,Submission,1,0,-5,-7,-0.04688581075764073,-0.02932404410385661,2013,3.7,USA
